2,26
109,65
18,15
348,360
18,9
130,134
104,108
2,23
472,460
320,372
22,49
10,7
7,1
8,7
20,38
12,-16
114,108
172,214
20,36
52,68
48,79
8,26
419,376
20,41
48,11
13,13
214,229
122,134
4,-16
7,-37
60,65
36,17
24,49
2,15
14,28
2,-26
7,-26
16,13
219,220
4,-6
8,-28
20,11
8,11
161,139
6,21
14,-12
175,193
4,1
224,290
49,45
20,36
94,79
313,328
8,45
6,32
58,68
9,11
12,-44
4,13
2,-2
52,54
18,9
2,41
2,30
2,-24
116,131
20,28
3,13
228,202
2,30
6,9
5,7
10,19
6,3
7,-29
8,32
6,47
17,3
469,426
3,-22
60,41
8,-24
7,1
11,38
48,79
81,79
2,-28
8,1
3,-18
2,3
18,5
20,28
2,28
2,-44
54,34
3,9
98,89
4,-10
388,335
12,17
8,1
8,1
102,84
4,19
2,-20
20,23
136,158
134,169
12,-2
10,-4
2,-14
6,47
13,-16
2,30
112,89
12,9
15,-2
4,45
7,17
12,7
76,145
2,17
211,226
2,-8
2,-4
20,17
6,-10
45,34
4,7
2,-10
250,259
9,3
6,-12
23,5
2,34
10,21
46,65
8,-26
13,19
7,23
20,-10
4,0
12,15
2,-29
4,-26
123,96
16,21
2,19
4,15
116,82
12,30
2,0
6,0
2,0
4,30
4,7
12,9
197,290
2,0
154,158
3,17
60,89
2,-20
22,21
5,7
4,32
48,58
12,5
8,21
9,13
16,-24
2,1
248,259
2,-2
32,72
4,3
8,54
2,-31
2,36
2,7
26,49
8,19
4,23
20,3
21,9
5,5
136,139
2,-43
4,13
123,137
32,56
2,3
88,49
174,155
266,343
2,36
14,30
158,155
16,36
2,28
430,407
2,28
40,52
124,131
5,9
4,17
2,-12
5,34
84,68
6,1
335,320
2,-2
205,190
2,49
8,21
6,0
2,36
14,-8
2,-12
400,407
20,63
121,94
4,-4
2,1
3,11
2,19
24,-20
2,-2
4,-2
140,108
20,26
4,0
56,63
4,17
2,-28
14,30
20,21
66,58
12,15
150,139
2,17
112,82
69,75
12,32
10,11
30,30
16,23
3,1
10,1
8,17
269,276
2,1
19,-24
20,-6
2,-2
44,41
2,32
4,9
242,273
62,32
10,54
7,36
27,43
29,38
2,3
20,-2
2,26
62,96
3,-33
16,28
16,-4
10,30
336,372
3,19
3,36
3,11
9,15
78,111
10,17
16,26
4,1
8,-2
4,19
125,89
358,368
10,36
42,32
36,30
14,21
466,486
8,1
28,56
16,9
20,45
64,75
20,32
20,-12
2,-24
9,-10
5,21
2,15
4,-6
272,287
6,-2
2,32
46,68
8,-2
2,19
162,131
2,-22
2,26
4,0
2,5
8,-2
6,-4
259,280
326,360
4,5
240,246
20,32
12,13
16,-35
3,43
30,38
80,111
2,-4
2,7
122,113
44,47
368,355
199,187
2,9
112,98
56,82
4,1
28,-22
8,49
4,34
2,-35
134,147
4,0
14,5
12,-18
25,82
59,49
22,23
2,-6
4,5
32,58
10,26
4,0
5,13
20,15
4,17
26,32
198,193
18,32
12,52
8,15
4,-8
2,3
82,86
2,43
7,5
4,-2
2,-24
12,5
132,113
2,-10
10,-12
5,-24
14,7
362,440
114,113
5,-6
149,137
16,63
9,-24
5,-8
486,519
2,3
122,131
26,11
6,58
166,147
4,-31
20,-10
207,220
167,158
17,7
20,54
10,52
12,3
30,32
3,11
4,63
2,15
14,63
10,36
13,13
6,26
9,28
2,63
8,5
6,5
112,96
8,0
2,7
12,19
4,49
20,-6
8,-12
494,460
9,56
11,19
3,-14
17,36
6,-20
3,45
2,1
6,-8
11,11
8,9
16,36
20,-8
6,7
363,351
2,21
7,-31
6,32
4,-2
2,-18
230,276
2,-20
4,30
4,15
16,47
6,7
12,-24
48,28
48,58
4,-4
222,236
2,17
140,167
3,34
2,0
20,3
32,28
7,-20
6,9
4,5
14,58
16,21
132,139
2,17
2,-28
20,36
20,1
4,13
184,193
9,-8
2,32
8,5
144,106
192,158
200,155
5,-2
220,211
4,34
5,-10
128,167
20,-4
6,43
7,38
2,-6
20,17
2,1
2,21
4,-12
2,0
42,32
9,36
6,-10
2,-12
70,63
136,158
2,-2
440,470
12,-22
2,11
3,1
322,372
6,9
2,23
3,-8
2,-8
474,440
4,-18
3,15
10,26
50,86
4,36
128,98
4,3
67,58
16,54
10,-28
4,1
4,1
12,-29
2,-10
8,-18
4,36
10,23
5,65
20,17
5,-4
2,38
148,126
5,15
432,426
16,13
3,-2
18,43
2,-6
293,280
3,32
214,169
6,-24
294,372
2,7
21,45
6,23
141,142
153,175
20,45
6,0
9,34
314,309
4,5
6,-37
4,-12
20,-12
4,-8
215,223
4,47
148,142
106,169
20,-6
13,-2
11,19
4,-22
5,-14
9,-20
4,38
2,1
5,13
3,-8
2,-12
6,13
237,259
2,-10
2,13
10,9
12,19
4,-8
11,15
12,7
272,280
75,106
8,43
153,178
2,23
7,19
33,34
163,129
20,36
2,-12
52,23
251,229
2,1
4,19
4,15
12,9
108,106
126,96
4,47
2,-35
4,26
17,26
93,91
2,11
22,19
4,28
4,-4
394,450
3,-48
323,305
4,-14
4,5
2,0
4,17
84,45
31,26
20,52
146,106
2,15
13,21
7,-4
14,3
102,111
15,1
9,13
204,175
6,32
124,169
14,32
365,431
284,324
2,0
8,-29
2,-29
2,0
6,-8
4,-24
17,19
20,58
70,84
219,184
106,108
202,190
123,137
2,-41
8,-29
20,5
12,34
8,5
122,79
113,147
106,145
15,-31
2,23
6,-2
493,530
2,13
58,45
15,26
6,-29
6,26
2,21
3,15
20,47
26,26
16,17
12,41
40,28
12,17
17,23
22,30
2,32
328,320
20,23
50,41
3,-37
385,403
8,9
268,301
29,17
40,32
4,34
28,30
18,15
11,9
13,-2
52,21
34,38
3,-22
2,19
20,19
152,142
2,-4
10,17
7,-22
5,-24
20,-2
358,331
5,-31
2,7
4,11
136,142
20,3
4,7
4,32
12,11
4,13
332,360
