247
195.25.5.43    	      4938	        28
170.146.96.193 	      4947	      4926
174.228.12.85  	      4954	      4394
128.227.236.254	      4958	      5102
159.178.109.34 	      4974	      1028
104.17.8.41    	      5000	      4932
94.31.29.248   	      5023	      4112
208.80.124.2   	      5024	      5001
216.58.219.67  	      5125	      5122
24.236.111.9   	      5212	      5216
208.80.125.4   	      5214	      4966
184.50.26.236  	      5270	      5254
107.77.218.214 	      5274	      5254
38.71.2.214    	      5277	         3
209.73.179.8   	      5277	      5108
216.200.96.194 	      5288	      5168
96.7.49.194    	      5305	      5139
108.179.205.207	      5331	      4076
212.227.17.4   	      5340	      5356
23.15.61.170   	      5396	      5396
159.178.109.180	      5399	      5744
149.111.148.27 	      5411	      5421
167.68.20.174  	      5428	      5423
40.76.218.33   	      5449	      5386
192.251.111.64 	      5454	      3105
207.46.13.156  	      5476	      5892
199.204.59.137 	      5476	      5472
35.190.151.98  	      5490	      5524
59.45.175.56   	      5514	      5172
99.166.162.58  	      5526	      5530
66.155.106.144 	      5539	        10
128.227.220.36 	      5539	      5525
54.192.205.60  	      5548	      5543
159.178.108.184	      5604	      5038
204.74.115.1   	      5681	      5681
104.92.16.146  	      5695	      5571
198.102.61.236 	      5734	      5752
204.154.111.106	      5740	      3441
69.172.201.238 	      5807	      5690
178.33.214.223 	      5846	      5946
66.231.139.112 	      5856	      5862
159.178.32.133 	      5877	      5890
54.231.49.244  	      5929	         8
159.178.119.40 	      5929	      6164
159.178.100.33 	      5996	      5996
159.178.100.82 	      6059	      6058
159.178.100.84 	      6116	      5867
159.178.100.162	      6275	      6392
159.178.96.156 	      6296	      4992
198.245.89.70  	      6300	      6296
209.112.113.33 	      6468	      6487
54.192.205.183 	      6520	      6537
54.67.57.25    	      6529	      4848
159.178.108.48 	      6589	      6501
95.101.36.67   	      6653	      6666
71.6.146.185   	      6699	      6808
112.198.103.2  	      6732	      6652
98.18.150.191  	      6732	      6714
159.178.129.91 	      6783	      6783
171.161.207.200	      6875	      6136
98.18.16.218   	      6909	      6944
73.224.76.160  	      6930	      6946
159.178.129.112	      6968	      7011
159.178.115.102	      7068	      7063
8.27.160.227   	      7072	      7272
120.239.64.18  	      7123	      7122
174.70.89.126  	      7159	      7291
69.252.101.144 	      7184	      7763
156.154.65.196 	      7206	      7597
192.210.199.106	      7258	      7374
68.64.22.136   	      7262	      7262
157.55.39.140  	      7278	      8058
159.178.112.71 	      7319	      7315
91.198.117.247 	      7374	      7394
63.251.240.12  	      7378	      7380
159.178.137.117	      7579	      7581
66.249.64.14   	      7685	      7701
128.227.112.222	      7786	      7904
104.16.89.188  	      7916	      7867
149.169.208.76 	      8027	      8030
34.206.148.175 	      8093	      7485
104.92.17.82   	      8316	      8390
172.217.8.80   	      8321	      7187
96.7.182.150   	      8339	      8364
23.202.88.31   	      8428	      8462
216.52.195.182 	      8592	      8584
54.230.161.109 	      8658	      8673
159.178.102.100	      8733	      8733
159.178.107.44 	      8747	      8698
73.224.42.241  	      8946	      8910
88.231.33.95   	      8966	      8968
165.215.209.15 	      9060	      8982
103.26.37.253  	      9366	      9324
52.84.76.175   	      9470	      9450
70.187.95.95   	      9508	      9510
159.178.237.53 	      9699	      9681
159.178.108.111	      9880	      9848
104.154.198.228	     10117	      9835
104.17.183.118 	     10172	      9956
187.237.14.200 	     10235	      9747
