123
107.77.220.66  	      4863	      4836
128.227.111.65 	      4878	      4878
54.67.57.25    	      4878	      4848
170.146.96.193 	      4940	      4926
167.89.25.217  	      4963	      4173
208.80.125.4   	      4971	      4966
104.17.8.41    	      4978	      4932
159.178.96.156 	      4992	      4992
104.92.12.53   	      5038	      5000
159.178.108.184	      5048	      5038
128.227.71.18  	      5090	      4926
128.227.236.254	      5111	      5102
216.58.219.67  	      5122	      5122
216.200.96.194 	      5178	      5168
59.45.175.56   	      5219	      5172
188.184.36.52  	      5244	      4904
184.50.26.236  	      5257	      5254
107.77.218.214 	      5260	      5254
208.80.124.2   	      5265	      5001
24.189.61.53   	      5340	      4662
72.47.228.169  	      5364	      4702
96.7.49.194    	      5399	      5139
40.76.218.33   	      5401	      5386
23.15.61.170   	      5405	      5396
149.111.148.27 	      5431	      5421
212.227.17.4   	      5464	      5356
167.68.20.174  	      5465	      5423
128.227.220.36 	      5527	      5525
35.190.151.98  	      5532	      5524
54.192.205.60  	      5543	      5543
99.166.162.58  	      5559	      5530
104.92.16.146  	      5579	      5571
204.74.115.1   	      5706	      5681
66.87.114.206  	      5737	      5722
159.178.109.180	      5747	      5744
209.73.179.8   	      5754	      5108
24.236.111.9   	      5798	      5216
198.102.61.236 	      5812	      5752
66.231.139.112 	      5872	      5862
207.46.13.156  	      5892	      5892
159.178.100.84 	      5910	      5867
159.178.32.133 	      5920	      5890
178.33.214.223 	      5951	      5946
159.178.100.33 	      6027	      5996
159.178.100.82 	      6091	      6058
199.204.59.137 	      6102	      5472
1.186.98.210   	      6146	         7
159.178.119.40 	      6164	      6164
69.172.201.238 	      6269	      5690
171.161.207.200	      6286	      6136
198.245.89.70  	      6379	      6296
159.178.100.162	      6392	      6392
159.178.108.48 	      6514	      6501
95.101.36.67   	      6678	      6666
159.178.129.91 	      6783	      6783
71.6.146.185   	      6824	      6808
54.192.205.183 	      6905	      6537
112.198.103.2  	      6927	      6652
98.18.16.218   	      6984	      6944
159.178.129.112	      7021	      7011
159.178.115.102	      7080	      7063
73.224.76.160  	      7125	      6946
209.112.113.33 	      7157	      6487
8.27.160.227   	      7278	      7272
68.64.22.136   	      7316	      7262
159.178.112.71 	      7321	      7315
174.70.89.126  	      7343	      7291
91.198.117.247 	      7403	      7394
120.239.64.18  	      7415	      7122
98.18.150.191  	      7470	      6714
192.210.199.106	      7472	      7374
172.217.8.80   	      7510	      7187
34.206.148.175 	      7533	      7485
159.178.137.117	      7603	      7581
63.251.240.12  	      7662	      7380
156.154.65.196 	      7683	      7597
66.249.64.14   	      7727	      7701
69.252.101.144 	      7773	      7763
104.16.89.188  	      7911	      7867
128.227.112.222	      7915	      7904
157.55.39.140  	      8058	      8058
96.7.182.150   	      8402	      8364
149.169.208.76 	      8409	      8030
23.202.88.31   	      8494	      8462
54.230.161.109 	      8695	      8673
159.178.107.44 	      8704	      8698
159.178.102.100	      8747	      8733
73.224.42.241  	      8936	      8910
216.52.195.182 	      8941	      8584
165.215.209.15 	      9005	      8982
88.231.33.95   	      9014	      8968
104.92.17.82   	      9074	      8390
103.26.37.253  	      9324	      9324
52.84.76.175   	      9450	      9450
70.187.95.95   	      9534	      9510
187.237.14.200 	      9845	      9747
159.178.108.111	      9862	      9848
104.154.198.228	      9889	      9835
104.17.183.118 	      9982	      9956
159.178.237.53 	     10297	      9681
